"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"5036","Играй для Жизни. Очный турнир","Киров","Благотворительный фестиваль ""Играй для Жизни""","2018-09-29 13:30:00","2018-09-29 18:00:00","3","12","","36","Обычный","0","","","","","http://kirovfest.ru","",""
"3758","Корабль Тесея","","Корабль Тесея. Шторм № 5","2016-04-15 19:30:00","2016-04-19 19:29:00","3","15","","45","Синхрон","0","0","","2016-04-18","","","",""
"3688","Татьянины каникулы","Калининград","III фестиваль интеллектуальных игр ""Татьянины каникулы"" на Кубок Калининградского зоопарка","2016-01-23 13:00:00","2016-01-23 17:00:00","3","12","","36","Обычный","0","0","","","","http://kldzoo.ru","",""
"3435","Кубок невМоГоТУ","","Международный синхронный чемпионат ""Кубок невМоГоТУ - 2015""","2015-10-30 19:00:00","2015-11-03 19:00:00","3","12","","36","Синхрон","360","0","Команды БКЗ","2015-10-31","","https://vk.com/event98735258","руб",""
"3445","Соликамская осень - синхрон","","Синхронный турнир ""Соликамская осень 2015""","2015-09-19 00:00:00","2015-09-20 23:55:00","3","12","","36","Синхрон","180","0","","2015-09-16","","https://vk.com/club97291474","руб",""
"3306","Открытый кубок БФУ им. И. Канта","Калининград","I открытый кубок Балтийского федерального университета им. И. Канта по игре ""Что? Где? Когда?""","2015-05-23 10:00:00","2015-05-24 16:00:00","4","15","","60","Обычный","0","0","","","","","",""
"4682","Холодная голова","Уфа","Межрегиональный фестиваль интеллектуальных игр ""Холодная голова - 2018""","2018-01-04 14:00:00","2018-01-06 12:00:00","6","15","","90","Обычный","10","","","","","http://coldhead.orkclub.ru/","$",""
"4237","Поволжская лига","","Поволжская лига по ""Что? Где? Когда?""","2017-03-26 12:00:00","2017-03-26 18:00:00","6","10","","60","Синхрон","0","","","2017-03-24","","","",""
"3983","Гран-при Бауманки. 3 этап","","Международный синхронный чемпионат ""22+, или 4 по 10""","2017-02-05 00:00:00","2017-02-08 23:55:00","4","10","","40","Синхрон","7","1","Команды БКЗ","2017-02-08","","https://vk.com/22plus2017","$","руб"
"3975","Гран-при Бауманки. 2 этап","","Международный синхронный чемпионат ""Кубок весей - 2016""","2016-12-25 00:00:00","2016-12-28 23:55:00","3","12","","36","Синхрон","7","","","2016-12-24","","https://vk.com/event134706785","$",""
